SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
1691046060,187036991,17063330,0,"""""",2025-11-30,01:01:00,16468.368,449.9202,1936.39643,40.6271,55.001,26.1552,51.028,0.0026523,11.2893,54.5011,30.21,0.15088,24.1357,21
1691046120,187036991,17063331,0,"""""",2025-11-30,01:02:00,16463.7579,450.52522,1936.47373,40.6255,55.001,26.1619,51.028,0.0026622,11.2876,54.501,63.82,0.15088,24.1345,11
1691046180,187036991,17063332,0,"""""",2025-11-30,01:03:00,16461.5502,451.44192,1936.71695,40.6285,55.001,26.1626,51.028,0.00264489,11.2896,54.4968,45.77,0.15088,24.1357,24
1691046240,187036991,17063333,0,"""""",2025-11-30,01:04:00,16463.4319,450.64544,1936.28876,40.6266,55.001,26.162,51.028,0.00265177,11.2882,54.4988,-64.37,0.15088,24.1338,42
1691046300,187036991,17063334,0,"""""",2025-11-30,01:05:00,16465.8402,451.36117,1937.21644,40.627,55.001,26.1604,51.028,0.00265369,11.2889,54.5016,-50.86,0.15088,24.1321,165
1691046360,187036991,17063335,0,"""""",2025-11-30,01:06:00,16455.4996,452.19373,1936.265,40.628,55.001,26.1569,51.028,0.00266102,11.2905,54.5044,-5.94,0.15088,24.1341,187
1691046420,187036991,17063336,0,"""""",2025-11-30,01:07:00,16460.0747,452.1663,1936.88727,40.6232,55.001,26.1593,51.028,0.0026564,11.2889,54.5015,-46.45,0.15088,24.1318,59
1691046480,187036991,17063337,0,"""""",2025-11-30,01:08:00,16455.6397,454.24798,1936.11461,40.6225,55.001,26.1531,51.028,0.002663,11.291,54.4987,47.45,0.15088,24.1366,20
1691046540,187036991,17063338,0,"""""",2025-11-30,01:09:00,16460.5812,452.58815,1936.60138,40.6266,55.001,26.1603,51.028,0.00266394,11.2895,54.5009,31.83,0.15088,24.1323,153
1691046600,187036991,17063339,0,"""""",2025-11-30,01:10:00,16457.9477,453.33747,1936.8403,40.6275,55.001,26.1542,51.028,0.00265766,11.2897,54.5046,-53.12,0.15088,24.1366,84
1691046660,187036991,17063340,0,"""""",2025-11-30,01:11:00,16457.4668,453.12338,1936.63307,40.6295,55.001,26.1597,51.028,0.00265732,11.2904,54.4923,77.81,0.15088,24.137,209
1691046720,187036991,17063341,0,"""""",2025-11-30,01:12:00,16462.2231,453.07797,1936.53438,40.6202,55.001,26.1595,51.028,0.00266923,11.29,54.4926,69.56,0.15088,24.1354,85
1691046780,187036991,17063342,0,"""""",2025-11-30,01:13:00,16456.6296,454.19117,1935.92049,40.627,55.001,26.1589,51.028,0.00266135,11.2879,54.4999,-11.54,0.15088,24.1335,234
1691046840,187036991,17063343,0,"""""",2025-11-30,01:14:00,16456.1754,453.83839,1935.84841,40.6296,55.001,26.1621,51.028,0.00265886,11.2888,54.4968,60.24,0.15088,24.1346,135
1691046900,187036991,17063344,0,"""""",2025-11-30,01:15:00,16457.88,453.40234,1936.54834,40.6279,55.001,26.1625,51.028,0.00268067,11.289,54.5038,52.92,0.15088,24.1354,110
1691046960,187036991,17063345,0,"""""",2025-11-30,01:16:00,16463.3163,453.65303,1936.83688,40.6266,55.001,26.164,51.028,0.00264761,11.2897,54.4942,57.07,0.15088,24.137,34
1691047020,187036991,17063346,0,"""""",2025-11-30,01:17:00,16456.1711,453.96326,1936.25174,40.6298,55.001,26.1556,51.028,0.00267699,11.2877,54.4935,41.49,0.15088,24.1359,65
1691047080,187036991,17063347,0,"""""",2025-11-30,01:18:00,16458.9023,455.66991,1936.23067,40.6232,55.001,26.1632,51.028,0.00265031,11.2892,54.4966,-7.92,0.15088,24.1345,23
1691047140,187036991,17063348,0,"""""",2025-11-30,01:19:00,16457.5429,455.08871,1936.71657,40.6239,55.001,26.1594,51.028,0.00268851,11.2891,54.4966,69.95,0.15088,24.1309,145
1691047200,187036991,17063349,0,"""""",2025-11-30,01:20:00,16460.4425,455.66519,1936.07683,40.6302,55.001,26.1622,51.028,0.0026437,11.2888,54.5033,75.11,0.15088,24.134,199
1691047260,187036991,17063350,0,"""""",2025-11-30,01:21:00,16458.1767,456.45886,1936.7615,40.6265,55.001,26.1647,51.028,0.00265282,11.2881,54.5006,-48.92,0.15088,24.1366,117
1691047320,187036991,17063351,0,"""""",2025-11-30,01:22:00,16463.0275,455.68579,1936.35609,40.6233,55.001,26.159,51.028,0.00266728,11.2905,54.5008,-7.54,0.15088,24.1353,213
1691047380,187036991,17063352,0,"""""",2025-11-30,01:23:00,16460.5073,457.53426,1937.14285,40.6262,55.001,26.1621,51.028,0.00264891,11.2894,54.4937,29.09,0.15088,24.1367,197
1691047440,187036991,17063353,0,"""""",2025-11-30,01:24:00,16462.4319,456.11199,1936.56905,40.6274,55.001,26.1535,51.028,0.00264893,11.2893,54.4969,-33.78,0.15088,24.1348,25
1691047500,187036991,17063354,0,"""""",2025-11-30,01:25:00,16456.4738,458.47834,1936.93994,40.6267,55.001,26.1589,51.028,0.0026591,11.2888,54.4991,-51.42,0.15088,24.1338,123
1691047560,187036991,17063355,0,"""""",2025-11-30,01:26:00,16454.896,457.33134,1936.87734,40.626,55.001,26.1605,51.028,0.00267048,11.2909,54.4928,-77.04,0.15088,24.1353,70
1691047620,187036991,17063356,0,"""""",2025-11-30,01:27:00,16462.6924,458.59407,1936.34244,40.6301,55.001,26.1596,51.028,0.00267397,11.2884,54.5024,-53.79,0.15088,24.1344,142
1691047680,187036991,17063357,0,"""""",2025-11-30,01:28:00,16459.4313,457.96619,1935.31256,40.6276,55.001,26.1587,51.028,0.00266146,11.2884,54.4964,65.41,0.15088,24.1342,130
1691047740,187036991,17063358,0,"""""",2025-11-30,01:29:00,16458.6297,458.38753,1936.44079,40.6271,55.001,26.1563,51.028,0.00265659,11.2882,54.5049,-43.29,0.15088,24.1326,218
1691047800,187036991,17063359,0,"""""",2025-11-30,01:30:00,16460.8686,458.21993,1935.96552,40.627,55.001,26.1597,51.028,0.0026373,11.2888,54.4975,-52.03,0.15088,24.1362,129
1691047860,187036991,17063360,0,"""""",2025-11-30,01:31:00,16463.3841,458.12324,1936.23431,40.6241,55.001,26.155,51.028,0.00266699,11.2897,54.5005,16.41,0.15088,24.1371,18
1691047920,187036991,17063361,0,"""""",2025-11-30,01:32:00,16462.3489,459.74572,1937.5096,40.6271,55.001,26.1558,51.028,0.00266688,11.2885,54.5027,15.95,0.15088,24.1348,20
1691047980,187036991,17063362,0,"""""",2025-11-30,01:33:00,16460.8864,458.05258,1936.76612,40.6353,55.001,26.1608,51.028,0.00267586,11.2876,54.4943,-19.74,0.15088,24.1331,71
1691048040,187036991,17063363,0,"""""",2025-11-30,01:34:00,16460.4917,459.45059,1936.3929,40.6316,55.001,26.1548,51.028,0.00265664,11.2875,54.4991,-3.41,0.15088,24.1375,143
1691048100,187036991,17063364,0,"""""",2025-11-30,01:35:00,16462.2906,460.66442,1936.90968,40.627,55.001,26.1615,51.028,0.00266447,11.2882,54.501,3.8,0.15088,24.1366,165
1691048160,187036991,17063365,0,"""""",2025-11-30,01:36:00,16460.4904,460.46614,1935.74916,40.6311,55.001,26.1589,51.028,0.00264807,11.2899,54.4972,2.92,0.15088,24.1333,11
1691048220,187036991,17063366,0,"""""",2025-11-30,01:37:00,16459.2159,461.10954,1936.09321,40.6305,55.001,26.1628,51.028,0.00266408,11.2894,54.4988,22.2,0.15088,24.1327,134
1691048280,187036991,17063367,0,"""""",2025-11-30,01:38:00,16459.5315,461.93483,1935.90182,40.6194,55.001,26.1576,51.028,0.00265626,11.2883,54.5005,-64.92,0.15088,24.1366,116
1691048340,187036991,17063368,0,"""""",2025-11-30,01:39:00,16458.0244,461.45508,1936.30078,40.6285,55.001,26.161,51.028,0.00267991,11.2896,54.4951,-43.62,0.15088,24.1314,60
1691048400,187036991,17063369,0,"""""",2025-11-30,01:40:00,16463.12,462.47506,1936.74624,40.6257,55.001,26.1637,51.028,0.00266992,11.2882,54.4993,5.46,0.15088,24.1372,94
1691048460,187036991,17063370,0,"""""",2025-11-30,01:41:00,16461.8626,462.4955,1936.69403,40.6302,55.001,26.1639,51.028,0.00266365,11.2894,54.4935,-5.29,0.15088,24.1394,240
1691048520,187036991,17063371,0,"""""",2025-11-30,01:42:00,16457.6111,462.36881,1935.96714,40.6291,55.001,26.1559,51.028,0.00266812,11.2893,54.4994,-54.56,0.15088,24.1336,182
1691048580,187036991,17063372,0,"""""",2025-11-30,01:43:00,16459.9956,462.21792,1936.14105,40.6301,55.001,26.1593,51.028,0.00266267,11.2878,54.5024,34.9,0.15088,24.1342,131
1691048640,187036991,17063373,0,"""""",2025-11-30,01:44:00,16459.5177,465.17294,1936.3604,40.6278,55.001,26.1582,51.028,0.00266511,11.2886,54.4951,31.94,0.15088,24.134,62
1691048700,187036991,17063374,0,"""""",2025-11-30,01:45:00,16466.2674,463.15375,1936.05055,40.6315,55.001,26.1607,51.028,0.00266262,11.2885,54.4981,14.24,0.15088,24.1338,85
1691048760,187036991,17063375,0,"""""",2025-11-30,01:46:00,16457.8609,464.08037,1936.59417,40.6283,55.001,26.1563,51.028,0.00265864,11.2886,54.499,40.9,0.15088,24.1366,77
1691048820,187036991,17063376,0,"""""",2025-11-30,01:47:00,16465.5434,465.07597,1936.10209,40.6246,55.001,26.1609,51.028,0.00264911,11.2889,54.4912,-63.64,0.15088,24.135,108
1691048880,187036991,17063377,0,"""""",2025-11-30,01:48:00,16456.5293,464.24726,1936.43013,40.6311,55.001,26.1621,51.028,0.00265876,11.2887,54.4965,-18.46,0.15088,24.1347,209
1691048940,187036991,17063378,0,"""""",2025-11-30,01:49:00,16459.8526,464.30189,1936.53495,40.6271,55.001,26.158,51.028,0.00266575,11.2857,54.4997,69.14,0.15088,24.1351,179
1691049000,187036991,17063379,0,"""""",2025-11-30,01:50:00,16457.2317,465.68719,1936.92712,40.6285,55.001,26.1594,51.028,0.00265321,11.2883,54.5014,47.52,0.15088,24.134,203
1691049060,187036991,17063380,0,"""""",2025-11-30,01:51:00,16460.9678,465.49981,1936.81352,40.6258,55.001,26.1646,51.028,0.00266162,11.2879,54.5016,14.5,0.15088,24.1366,223
1691049120,187036991,17063381,0,"""""",2025-11-30,01:52:00,16460.1933,466.10415,1935.39215,40.6247,55.001,26.1619,51.028,0.00266352,11.2893,54.4981,21.98,0.15088,24.1345,23
1691049180,187036991,17063382,0,"""""",2025-11-30,01:53:00,16463.2633,464.46589,1935.95384,40.6279,55.001,26.1572,51.028,0.00265247,11.2897,54.4976,54.9,0.15088,24.1341,47
1691049240,187036991,17063383,0,"""""",2025-11-30,01:54:00,16460.34,465.51186,1936.4331,40.629,55.001,26.1637,51.028,0.00267081,11.2907,54.4956,-26.83,0.15088,24.1324,109
1691049300,187036991,17063384,0,"""""",2025-11-30,01:55:00,16457.8419,466.9276,1936.69868,40.6272,55.001,26.1615,51.028,0.00267395,11.2906,54.499,-4.38,0.15088,24.1348,97
1691049360,187036991,17063385,0,"""""",2025-11-30,01:56:00,16462.7864,467.33318,1936.95249,40.6244,55.001,26.1608,51.028,0.00265364,11.2888,54.4947,-79.48,0.15088,24.1363,130
1691049420,187036991,17063386,0,"""""",2025-11-30,01:57:00,16456.6211,466.35248,1936.73781,40.6246,55.001,26.1601,51.028,0.00266257,11.2885,54.498,8.58,0.15088,24.1325,38
1691049480,187036991,17063387,0,"""""",2025-11-30,01:58:00,16468.45,466.88333,1936.35479,40.6324,55.001,26.1602,51.028,0.00266663,11.2902,54.4998,54.2,0.15088,24.1346,37
1691049540,187036991,17063388,0,"""""",2025-11-30,01:59:00,16461.4348,468.32169,1937.18862,40.6296,55.001,26.157,51.028,0.00265549,11.2884,54.5004,34.66,0.15088,24.1329,22
1691049600,187036991,17063389,0,"""""",2025-11-30,02:00:00,16453.0248,467.95796,1936.82163,40.6235,55.001,26.1652,51.028,0.00266127,11.2903,54.4979,-25.98,0.15088,24.1341,167
1691049660,187036991,17063390,0,"""""",2025-11-30,02:01:00,16459.648,466.52439,1935.76979,40.6313,55.001,26.1576,51.028,0.00265781,11.2892,54.4957,-24.61,0.15088,24.1343,199
1691049720,187036991,17063391,0,"""""",2025-11-30,02:02:00,16460.2698,469.55622,1937.02974,40.6267,55.001,26.1598,51.028,0.00268023,11.2891,54.503,-67.35,0.15088,24.1326,210
1691049780,187036991,17063392,0,"""""",2025-11-30,02:03:00,16456.7972,470.61507,1937.16655,40.6334,55.001,26.159,51.028,0.00264482,11.2886,54.5002,61.44,0.15088,24.135,184
1691049840,187036991,17063393,0,"""""",2025-11-30,02:04:00,16457.9601,469.01523,1935.90148,40.6265,55.001,26.1559,51.028,0.00267405,11.2906,54.4993,-77.97,0.15088,24.1321,222
1691049900,187036991,17063394,0,"""""",2025-11-30,02:05:00,16457.0045,470.44276,1935.59951,40.6288,55.001,26.1586,51.028,0.00266092,11.2893,54.4966,-72.28,0.15088,24.1343,32
1691049960,187036991,17063395,0,"""""",2025-11-30,02:06:00,16458.2844,470.42632,1935.95592,40.6341,55.001,26.1583,51.028,0.00265182,11.2878,54.4983,5.78,0.15088,24.1332,156
1691050020,187036991,17063396,0,"""""",2025-11-30,02:07:00,16456.283,470.76472,1936.63933,40.6233,55.001,26.1595,51.028,0.00266952,11.2893,54.4997,6.14,0.15088,24.1342,180
1691050080,187036991,17063397,0,"""""",2025-11-30,02:08:00,16461.8482,470.23298,1936.1533,40.633,55.001,26.1621,51.028,0.00263538,11.2885,54.5007,78.6,0.15088,24.1359,130
1691050140,187036991,17063398,0,"""""",2025-11-30,02:09:00,16455.5106,471.85624,1936.38202,40.6257,55.001,26.1539,51.028,0.00265852,11.289,54.4953,-79.06,0.15088,24.1363,204
1691050200,187036991,17063399,0,"""""",2025-11-30,02:10:00,16461.8731,470.67281,1935.91381,40.6304,55.001,26.1628,51.028,0.00265397,11.2894,54.4988,-67.42,0.15088,24.1376,93
1691050260,187036991,17063400,0,"""""",2025-11-30,02:11:00,16462.4953,470.34722,1936.63102,40.6262,55.001,26.1646,51.028,0.00266982,11.2881,54.4994,-21.43,0.15088,24.1341,99
1691050320,187036991,17063401,0,"""""",2025-11-30,02:12:00,16460.4898,470.68981,1936.37801,40.6224,55.001,26.1607,51.028,0.00264906,11.2892,54.4919,-29.77,0.15088,24.1319,202
1691050380,187036991,17063402,0,"""""",2025-11-30,02:13:00,16460.0357,470.98071,1936.30782,40.6267,55.001,26.1556,51.028,0.00266209,11.2907,54.498,-19.66,0.15088,24.1322,162
1691050440,187036991,17063403,0,"""""",2025-11-30,02:14:00,16459.1459,473.4719,1937.10515,40.6292,55.001,26.1638,51.028,0.00265511,11.2899,54.4994,64.3,0.15088,24.1356,60
1691050500,187036991,17063404,0,"""""",2025-11-30,02:15:00,16455.9208,472.04265,1936.17676,40.6262,55.001,26.1571,51.028,0.00265879,11.2865,54.5006,56.58,0.15088,24.136,249
1691050560,187036991,17063405,0,"""""",2025-11-30,02:16:00,16459.5027,473.84576,1936.7444,40.6299,55.001,26.1593,51.028,0.00265606,11.2883,54.4998,-54.32,0.15088,24.134,194
1691050620,187036991,17063406,0,"""""",2025-11-30,02:17:00,16456.7014,472.3059,1935.87412,40.6256,55.001,26.1584,51.028,0.0026666,11.2887,54.4987,71.87,0.15088,24.1343,227
